Material,Alloy_Type,Density_g_cm3,Yield_Strength_MPa,Tensile_Strength_MPa,Hardness_HB,Corrosion_Resistance_0_10,Thermal_Conductivity_W_mK,Cost_Index_1_10,Melting_Point_C,Machinability,Primary_Application
EN C35,Carbon Steel,7.86,380.0,600.0,176.5,3,49.65,2,1527.4,7,General Purpose
EN C40,Carbon Steel,7.86,400.0,630.0,185.3,3,53.03,2,1542.1,7,General Purpose
EN C45 (heat treated),Carbon Steel,7.86,430.0,650.0,191.2,2,50.31,1,1507.2,7,General Purpose
EN C50 (heat treated),Carbon Steel,7.86,460.0,700.0,205.9,3,46.84,2,1546.9,7,General Purpose
EN C55 (heat treated),Carbon Steel,7.86,490.0,750.0,220.6,3,47.07,2,1512.0,7,General Purpose
EN C60 (heat treated),Carbon Steel,7.86,520.0,800.0,235.3,3,50.5,2,1507.3,7,General Purpose
EN P295GH,Carbon Steel,7.86,290.0,460.0,135.3,3,55.09,2,1502.5,7,General Purpose
EN 28Mn6 (heat treated),Carbon Steel,7.86,490.0,700.0,205.9,3,48.31,1,1500.9,7,General Purpose
EN 17Cr3,Carbon Steel,7.86,340.0,580.0,170.6,3,52.0,3,1525.8,7,General Purpose
EN 34Cr4 (heat treated),Carbon Steel,7.86,590.0,800.0,235.3,3,52.84,2,1511.7,7,General Purpose
EN 37Cr4 (heat treated),Carbon Steel,7.86,630.0,850.0,250.0,3,47.12,3,1541.3,5,Structural
EN 41Cr4 (heat treated),Carbon Steel,7.86,660.0,900.0,264.7,3,47.36,3,1508.3,6,Structural
EN 16MnCr5 (case-hardened),Carbon Steel,7.86,680.0,900.0,264.7,3,44.57,3,1545.7,6,Structural
EN 20MnCr5 (case-hardened),Carbon Steel,7.86,680.0,980.0,288.2,3,41.7,4,1550.2,6,Structural
EN 16Mo3,Carbon Steel,7.86,270.0,440.0,129.4,3,46.84,2,1484.8,7,General Purpose
EN 13CrMo4,Carbon Steel,7.86,295.0,450.0,132.4,4,48.85,2,1500.6,6,General Purpose
EN 25CrMo4 (heat treated),Carbon Steel,7.86,600.0,800.0,235.3,3,49.02,2,1515.2,7,General Purpose
EN 34CrMo4 (heat treated),Carbon Steel,7.86,650.0,900.0,264.7,4,39.35,3,1542.8,6,Structural
EN 42CrMo4 (heat treated),Carbon Steel,7.86,770.0,1000.0,294.1,3,40.16,3,1560.7,6,Structural
EN S355J2G1W,Carbon Steel,7.86,345.0,490.0,144.1,3,49.87,2,1522.7,7,General Purpose
EN S355J0WP,Carbon Steel,7.86,345.0,490.0,144.1,3,51.34,2,1542.2,7,General Purpose
EN 51CrV4 (case-hardened),Carbon Steel,7.86,700.0,900.0,264.7,3,43.15,3,1559.8,6,Structural
EN 10CrMo9-10,Carbon Steel,7.86,300.0,480.0,141.2,3,53.52,2,1514.7,8,General Purpose
EN 11CrMo9-10,Carbon Steel,7.86,310.0,520.0,152.9,3,47.67,2,1539.7,7,General Purpose
EN 16NiCr4 (case-hardened),Carbon Steel,7.86,590.0,835.0,245.6,3,43.08,3,1534.7,6,Structural
EN 12Ni14,Carbon Steel,7.86,355.0,490.0,144.1,2,48.93,3,1536.7,7,General Purpose
EN 34CrNiMo6 (heat treated),Carbon Steel,7.86,900.0,1100.0,323.5,3,40.52,2,1549.2,6,Structural
EN 30CrNiMo8 (heat treated),Carbon Steel,7.86,1050.0,1250.0,367.6,4,39.49,3,1542.9,6,Structural
EN 12Ni19,Carbon Steel,7.86,390.0,530.0,155.9,3,50.4,2,1501.5,7,General Purpose
EN X8Ni9,Carbon Steel,7.86,585.0,680.0,200.0,3,52.76,2,1514.4,7,General Purpose
EN X6Cr13,Carbon Steel,7.86,230.0,400.0,117.6,3,50.37,2,1520.7,7,General Purpose
EN X12Cr13,Carbon Steel,7.86,450.0,650.0,191.2,3,51.56,2,1512.2,7,General Purpose
EN X20Cr13,Carbon Steel,7.86,500.0,700.0,205.9,3,56.3,2,1497.3,7,General Purpose
EN X30Cr13,Carbon Steel,7.86,650.0,850.0,250.0,3,40.15,3,1546.0,6,Structural
EN X6Cr17,Carbon Steel,7.86,240.0,400.0,117.6,3,55.31,2,1488.9,7,General Purpose
EN X17CrNi16-2,Carbon Steel,7.86,600.0,800.0,235.3,3,47.72,2,1525.0,6,General Purpose
EN X5CrNi18-10,Carbon Steel,7.86,190.0,500.0,147.1,3,48.48,2,1526.1,7,General Purpose
EN X8CrNiS18-9,Carbon Steel,7.86,190.0,500.0,147.1,3,49.45,2,1535.5,7,General Purpose
EN X6CrNiTi18-10,Carbon Steel,7.86,190.0,500.0,147.1,3,47.33,2,1514.1,7,General Purpose
EN X2CrNi19-11,Carbon Steel,7.86,180.0,460.0,135.3,3,48.18,1,1529.7,8,General Purpose
EN X2CrNiN18-10,Carbon Steel,7.86,270.0,550.0,161.8,4,51.07,2,1504.3,7,General Purpose
EN X5CrNiMo17-12-2,Tool Steel,7.86,200.0,500.0,147.1,4,14.78,5,1363.3,5,Die Casting
EN X6CrNiMoTi17-12-2,Carbon Steel,7.86,200.0,500.0,147.1,3,50.7,2,1524.5,7,General Purpose
EN X2CrNiMo17-12-2,Tool Steel,7.86,200.0,500.0,147.1,3,16.37,5,1336.1,5,Die Casting
EN X2CrNiMo18-14-3,Tool Steel,7.86,200.0,500.0,147.1,4,16.1,5,1359.8,5,Die Casting
EN X3CrNiMo17-13-3,Tool Steel,7.86,200.0,500.0,147.1,4,15.8,5,1363.4,5,Die Casting
EN X2CrNiMoN17-11-2,Carbon Steel,7.86,280.0,580.0,170.6,3,51.43,2,1539.9,7,General Purpose
EN X2CrNiMoN17-13-3,Carbon Steel,7.86,280.0,580.0,170.6,3,50.62,2,1511.8,7,General Purpose
EN X2CrNiMoN22-5-3,Carbon Steel,7.86,450.0,650.0,191.2,3,50.98,3,1503.2,7,General Purpose
EN X12CrMnNiN18-9-5,Carbon Steel,7.86,320.0,680.0,200.0,3,53.03,2,1517.5,7,General Purpose
Grey cast iron,Carbon Steel,7.16,147.0,150.0,44.1,3,55.22,2,1529.6,7,General Purpose
DIN 9SMn28,Carbon Steel,7.86,375.0,460.0,135.3,3,50.31,1,1506.0,7,General Purpose
DIN 10S2O,Carbon Steel,7.86,355.0,460.0,135.3,2,49.73,1,1527.1,7,General Purpose
DIN 35S20,Carbon Steel,7.86,365.0,580.0,170.6,3,41.4,2,1513.1,7,General Purpose
DIN USt1303,Carbon Steel,7.86,202.5,270.0,79.4,3,49.45,2,1513.7,7,General Purpose
DIN St1405,Carbon Steel,7.86,202.5,270.0,79.4,2,53.5,2,1514.8,7,General Purpose
DIN St1203,Carbon Steel,7.86,202.5,270.0,79.4,2,47.29,2,1507.8,7,General Purpose
DIN USt34-2,Carbon Steel,7.86,195.0,330.0,97.1,3,52.43,2,1525.8,8,General Purpose
DIN St34-2BK,Carbon Steel,7.86,320.0,410.0,120.6,3,51.7,2,1523.8,7,General Purpose
DIN St37.0,Carbon Steel,7.86,225.0,350.0,102.9,3,47.1,3,1509.7,7,General Purpose
DIN HI,Carbon Steel,7.86,225.0,360.0,105.9,2,51.52,2,1522.5,8,General Purpose
DIN St37-2,Carbon Steel,7.86,225.0,340.0,100.0,3,47.88,1,1496.4,7,General Purpose
DIN St37-2BK,Carbon Steel,7.86,350.0,440.0,129.4,3,49.51,2,1552.3,7,General Purpose
DIN RSt37-2,Carbon Steel,7.86,225.0,340.0,100.0,3,48.29,2,1506.1,6,General Purpose
DIN St37-3,Carbon Steel,7.86,225.0,340.0,100.0,3,49.91,2,1517.7,7,General Purpose
DIN HII,Carbon Steel,7.86,255.0,410.0,120.6,3,52.38,1,1506.6,7,General Purpose
DIN St44-2,Carbon Steel,7.86,265.0,410.0,120.6,3,52.11,1,1547.3,7,General Purpose
DIN St44.0,Carbon Steel,7.86,265.0,420.0,123.5,3,48.18,2,1510.1,7,General Purpose
DIN St44-3,Carbon Steel,7.86,265.0,410.0,120.6,4,51.68,3,1524.9,7,General Purpose
DIN St50-2,Carbon Steel,7.86,285.0,470.0,138.2,3,53.47,2,1514.8,7,General Purpose
DIN St52-3,Carbon Steel,7.86,345.0,490.0,144.1,3,46.17,1,1530.3,7,General Purpose
DIN St52.0,Carbon Steel,7.86,345.0,500.0,147.1,3,47.09,2,1495.4,7,General Purpose
DIN St52-3BK,Carbon Steel,7.86,470.0,590.0,173.5,3,45.21,3,1529.3,7,General Purpose
DIN St60-2,Carbon Steel,7.86,325.0,570.0,167.6,2,51.96,2,1481.9,7,General Purpose
DIN St70-2,Carbon Steel,7.86,355.0,670.0,197.1,3,46.9,2,1529.2,7,General Purpose
DIN Ck10 (case-hardened),Carbon Steel,7.86,275.0,440.0,129.4,3,49.95,2,1511.3,7,General Purpose
DIN Ck15 (case-hardened),Carbon Steel,7.86,295.0,495.0,145.6,3,46.6,1,1517.2,7,General Purpose
DIN Ck22,Carbon Steel,7.86,300.0,500.0,147.1,3,48.81,1,1522.7,6,General Purpose
DIN Ck25,Carbon Steel,7.86,320.0,500.0,147.1,3,44.92,2,1510.2,7,General Purpose
DIN Ck30,Carbon Steel,7.86,350.0,550.0,161.8,3,48.07,2,1509.2,7,General Purpose
DIN Ck35,Carbon Steel,7.86,370.0,600.0,176.5,3,51.68,2,1525.7,7,General Purpose
DIN Cf35,Carbon Steel,7.86,360.0,580.0,170.6,3,46.08,2,1523.1,7,General Purpose
DIN Ck40 (heat treated),Carbon Steel,7.86,400.0,630.0,185.3,3,49.58,1,1526.0,7,General Purpose
DIN Ck45 (normalized),Carbon Steel,7.86,320.0,535.0,157.4,2,49.9,2,1546.0,7,General Purpose
DIN Ck45 (heat treated),Carbon Steel,7.86,430.0,650.0,191.2,3,46.28,1,1487.6,7,General Purpose
DIN Cf45,Carbon Steel,7.86,410.0,660.0,194.1,3,49.04,3,1522.5,7,General Purpose
DIN Ck50 (face hardened),Carbon Steel,7.86,460.0,700.0,205.9,3,49.4,2,1509.0,6,General Purpose
DIN Cf53,Carbon Steel,7.86,430.0,690.0,202.9,3,49.24,3,1469.0,7,General Purpose
DIN Ck55 (heat treated),Carbon Steel,7.86,500.0,750.0,220.6,4,49.57,2,1499.5,7,General Purpose
DIN Ck60 (normalized),Carbon Steel,7.86,400.0,680.0,200.0,3,51.68,1,1490.3,6,General Purpose
DIN Ck60 (heat treated),Carbon Steel,7.86,520.0,800.0,235.3,3,49.36,2,1538.5,6,General Purpose
DIN Ck60 (nitro-carburized),Carbon Steel,7.86,520.0,800.0,235.3,3,49.5,1,1549.1,6,General Purpose
DIN 17Mn4,Carbon Steel,7.86,290.0,460.0,135.3,3,49.01,1,1512.8,8,General Purpose
DIN 28Mn6,Carbon Steel,7.86,490.0,690.0,202.9,4,48.67,2,1503.5,6,General Purpose
DIN 17Cr3,Carbon Steel,7.86,340.0,590.0,173.5,3,48.3,2,1493.0,8,General Purpose
DIN 34Cr4,Carbon Steel,7.86,590.0,800.0,235.3,3,47.6,3,1544.5,7,General Purpose
DIN 37Cr4 (heat treated),Carbon Steel,7.86,630.0,850.0,250.0,3,41.64,3,1569.3,6,Structural
DIN 37Cr4 (face hardened),Carbon Steel,7.86,630.0,850.0,250.0,4,45.89,3,1550.0,6,Structural
DIN 37Cr4 (nitro-case-hard.),Carbon Steel,7.86,1300.0,1700.0,500.0,3,42.49,3,1521.7,6,Structural
DIN 38Cr4,Carbon Steel,7.86,630.0,830.0,244.1,3,43.8,3,1536.0,6,Structural
DIN 41Cr4,Carbon Steel,7.86,660.0,900.0,264.7,3,44.38,4,1532.9,6,Structural
DIN 42Cr4,Carbon Steel,7.86,670.0,880.0,258.8,4,42.43,3,1553.6,6,Structural
DIN 37CrS4,Carbon Steel,7.86,630.0,850.0,250.0,3,41.25,2,1536.9,6,Structural
DIN 41CrS4,Carbon Steel,7.86,665.0,880.0,258.8,2,45.39,3,1529.7,6,Structural
DIN 55Cr3 (heat treated),Carbon Steel,7.86,1270.0,1450.0,426.5,3,42.75,3,1581.7,6,Structural
DIN 16MnCr5 (case-hardened),Carbon Steel,7.86,680.0,900.0,264.7,3,40.81,3,1547.6,7,Structural
DIN 20MnCr5,Carbon Steel,7.86,680.0,980.0,288.2,4,44.69,4,1544.8,6,Structural
DIN 54SiCr6 (heat treated),Carbon Steel,7.86,1180.0,1370.0,402.9,3,40.45,3,1535.6,5,Structural
DIN 15Mo3,Carbon Steel,7.86,270.0,440.0,129.4,3,52.4,3,1511.2,7,General Purpose
DIN 13CrMo4,Carbon Steel,7.86,295.0,450.0,132.4,3,46.54,2,1492.6,7,General Purpose
DIN WTSt52-3,Carbon Steel,7.86,345.0,490.0,144.1,3,55.76,2,1524.7,6,General Purpose
DIN 25CrMo4,Carbon Steel,7.86,600.0,800.0,235.3,3,51.57,2,1520.3,6,General Purpose
DIN 34CrMo4,Carbon Steel,7.86,650.0,900.0,264.7,3,40.24,3,1532.9,6,Structural
DIN 42CrMo4,Carbon Steel,7.86,750.0,1000.0,294.1,3,41.94,3,1578.5,6,Structural
DIN 41CrMo4,Carbon Steel,7.86,760.0,980.0,288.2,3,45.62,3,1544.4,5,Structural
DIN 49CrMo4,Carbon Steel,7.86,690.0,880.0,258.8,3,39.66,4,1543.2,7,Structural
DIN 30CrV9 (nitrided),Carbon Steel,7.86,600.0,800.0,235.3,3,49.34,2,1504.2,7,General Purpose
DIN 42CrV6 (heat treated),Carbon Steel,7.86,850.0,980.0,288.2,3,40.97,3,1548.5,6,Structural
DIN 42CrV6 (face hardened),Carbon Steel,7.86,850.0,980.0,288.2,3,41.66,4,1508.7,6,Structural
DIN 50CrV4 (heat treated),Carbon Steel,7.86,1180.0,1370.0,402.9,4,46.13,2,1549.7,6,Structural
DIN 10CrMo9-10,Carbon Steel,7.86,300.0,480.0,141.2,2,53.41,2,1533.1,7,General Purpose
DIN 41CrAlMo7,Carbon Steel,7.86,735.0,930.0,273.5,4,45.52,3,1522.6,5,Structural
DIN 32CrMo12,Tool Steel,7.86,1030.0,1230.0,361.8,4,18.14,5,1357.4,5,Die Casting
DIN 31CrMo12,Tool Steel,7.86,750.0,1000.0,294.1,4,14.53,5,1356.4,5,Die Casting
DIN 17CrNiMo6,Carbon Steel,7.86,785.0,1080.0,317.6,3,40.14,3,1547.5,6,Structural
DIN 10Ni14,Carbon Steel,7.86,355.0,490.0,144.1,3,53.32,3,1475.9,7,General Purpose
DIN 34CrNiMo6,Carbon Steel,7.86,900.0,1100.0,323.5,2,46.23,2,1553.4,6,Structural
DIN 30CrNiMo8,Carbon Steel,7.86,1050.0,1250.0,367.6,3,40.41,3,1558.3,6,Structural
DIN 12Ni19,Carbon Steel,7.86,390.0,530.0,155.9,3,49.49,2,1530.4,7,General Purpose
DIN X8Ni9,Carbon Steel,7.86,585.0,680.0,200.0,3,51.95,2,1518.6,7,General Purpose
DIN X6Cr13,Carbon Steel,7.86,250.0,400.0,117.6,3,52.1,2,1500.8,7,General Purpose
DIN X6Cr17,Carbon Steel,7.86,270.0,450.0,132.4,4,55.35,2,1515.3,7,General Purpose
DIN X10Cr13,Carbon Steel,7.86,420.0,600.0,176.5,3,55.65,3,1523.8,7,General Purpose
DIN X20Cr13,Carbon Steel,7.86,450.0,650.0,191.2,3,47.13,2,1514.1,7,General Purpose
DIN X30Cr13,Carbon Steel,7.86,600.0,800.0,235.3,3,49.61,2,1512.9,7,General Purpose
DIN X45CrSi93,Carbon Steel,7.86,700.0,900.0,264.7,3,39.7,3,1552.8,6,Structural
DIN X6CrAl13,Carbon Steel,7.86,250.0,400.0,117.6,3,46.59,2,1513.6,7,General Purpose
DIN X20CrNi172,Carbon Steel,7.86,550.0,750.0,220.6,4,51.82,2,1529.3,7,General Purpose
DIN X85CrMoV182,Carbon Steel,7.86,800.0,1000.0,294.1,3,45.63,3,1568.4,5,Structural
DIN X5CrNi1810,Carbon Steel,7.86,195.0,500.0,147.1,2,48.47,2,1501.4,7,General Purpose
DIN X10CrNiS189,Carbon Steel,7.86,195.0,500.0,147.1,4,47.21,2,1529.1,7,General Purpose
DIN X6CrNiTi1810,Carbon Steel,7.86,200.0,500.0,147.1,3,53.46,1,1506.9,7,General Purpose
DIN X2CrNi1911,Carbon Steel,7.86,180.0,460.0,135.3,4,51.38,2,1514.0,8,General Purpose
DIN X2CrNiN1810,Carbon Steel,7.86,270.0,550.0,161.8,3,47.81,2,1534.0,7,General Purpose
DIN X5CrNiMo17122,Tool Steel,7.86,205.0,510.0,150.0,3,15.75,5,1339.7,6,Die Casting
DIN X6CrNiMoTi17122,Carbon Steel,7.86,210.0,500.0,147.1,3,46.19,2,1509.4,6,General Purpose
DIN X2CrNiMo17132,Tool Steel,7.86,190.0,490.0,144.1,4,15.76,5,1348.2,4,Die Casting
DIN X2CrNiMo18143,Tool Steel,7.86,190.0,490.0,144.1,4,15.11,5,1338.8,5,Die Casting
DIN X5CrNiMo17133,Tool Steel,7.86,205.0,510.0,150.0,4,16.04,5,1342.1,5,Die Casting
DIN X2CrNiMoN17122,Carbon Steel,7.86,280.0,580.0,170.6,3,48.32,2,1468.4,7,General Purpose
DIN X2CrNiMoN17133,Carbon Steel,7.86,295.0,580.0,170.6,3,50.06,2,1500.2,8,General Purpose
DIN X2CrNiMoN17135,Carbon Steel,7.86,285.0,580.0,170.6,3,45.57,2,1528.6,6,General Purpose
DIN X8CrMnNi188,Carbon Steel,7.86,295.0,590.0,173.5,3,48.65,1,1499.3,7,General Purpose
DIN X53CrMnNiN219,Carbon Steel,7.86,580.0,950.0,279.4,3,46.13,4,1572.2,6,Structural
DIN GG - 15,Carbon Steel,7.16,147.0,150.0,44.1,3,48.1,2,1511.2,7,General Purpose
DIN GG - 20,Carbon Steel,7.16,196.0,200.0,58.8,3,50.51,2,1512.5,7,General Purpose
DIN GG - 25,Carbon Steel,7.16,245.0,250.0,73.5,2,49.45,2,1514.2,7,General Purpose
DIN GG - 30,Carbon Steel,7.16,294.0,300.0,88.2,3,53.26,1,1497.2,7,General Purpose
DIN GG - 35,Carbon Steel,7.16,343.0,350.0,102.9,3,53.66,2,1509.6,7,General Purpose
DIN GGG - 50,Carbon Steel,7.16,320.0,500.0,147.1,3,47.68,3,1511.7,7,General Purpose
DIN GGG - 60,Carbon Steel,7.16,370.0,600.0,176.5,3,47.2,2,1524.2,7,General Purpose
DIN GGG - 70,Carbon Steel,7.16,420.0,700.0,205.9,2,48.4,3,1521.1,7,General Purpose
DIN GGG - 80,Carbon Steel,7.16,480.0,800.0,235.3,3,50.48,2,1531.9,7,General Purpose
DIN GTS - 40,Carbon Steel,7.16,180.0,400.0,117.6,3,46.82,2,1509.9,7,General Purpose
DIN GTS - 50,Carbon Steel,7.16,260.0,500.0,147.1,3,49.75,1,1516.2,7,General Purpose
BS 230M07,Carbon Steel,7.86,300.0,430.0,126.5,4,50.6,2,1528.9,7,General Purpose
BS 212M36,Carbon Steel,7.86,370.0,635.0,186.8,4,55.85,3,1528.5,7,General Purpose
BS CR3GP,Carbon Steel,7.86,140.0,280.0,82.4,4,47.14,2,1540.3,7,General Purpose
BS CR2PL,Carbon Steel,7.86,140.0,280.0,82.4,3,53.81,1,1525.9,8,General Purpose
BS CR4GP,Carbon Steel,7.86,140.0,280.0,82.4,2,47.53,3,1493.1,6,General Purpose
BS CEW2BK,Carbon Steel,7.86,355.0,420.0,123.5,3,49.07,2,1546.8,7,General Purpose
BS CFS3NBK,Carbon Steel,7.86,215.0,360.0,105.9,3,47.36,2,1496.3,7,General Purpose
BS Grade 360,Carbon Steel,7.86,225.0,360.0,105.9,3,45.63,1,1520.7,7,General Purpose
BS CEW3BK,Carbon Steel,7.86,360.0,450.0,132.4,3,49.53,3,1531.1,7,General Purpose
BS 40B,Carbon Steel,7.86,225.0,340.0,100.0,3,49.11,1,1545.0,7,General Purpose
BS 40C,Carbon Steel,7.86,225.0,340.0,100.0,3,48.93,2,1534.0,7,General Purpose
BS Grade 430,Stainless Steel,7.86,225.0,410.0,120.6,6,24.09,3,1487.1,7,Valve Parts
BS 43B,Carbon Steel,7.86,245.0,430.0,126.5,3,51.71,2,1519.4,7,General Purpose
BS CFS6NBK,Carbon Steel,7.86,280.0,460.0,135.3,4,48.59,2,1521.5,7,General Purpose
BS 43D,Carbon Steel,7.86,245.0,430.0,126.5,3,46.82,2,1498.9,7,General Purpose
BS 50B,Carbon Steel,7.86,355.0,490.0,144.1,2,49.71,2,1536.6,7,General Purpose
BS 50C,Carbon Steel,7.86,355.0,490.0,144.1,3,48.96,2,1504.0,7,General Purpose
BS 50D,Carbon Steel,7.86,355.0,490.0,144.1,3,50.9,2,1533.8,8,General Purpose
BS CFS8NBK,Carbon Steel,7.86,340.0,540.0,158.8,3,50.31,2,1498.8,7,General Purpose
BS CEW5BK,Carbon Steel,7.86,480.0,600.0,176.5,3,50.15,2,1509.6,7,General Purpose
BS 55C,Carbon Steel,7.86,430.0,550.0,161.8,3,47.24,2,1519.4,7,General Purpose
BS 55E,Carbon Steel,7.86,430.0,550.0,161.8,3,51.77,2,1511.7,8,General Purpose
BS 070M26,Tool Steel,7.86,245.0,490.0,144.1,4,15.26,5,1338.8,5,Die Casting
BS 080M30,Carbon Steel,7.86,310.0,550.0,161.8,3,50.92,3,1507.6,7,General Purpose
BS 080M36,Carbon Steel,7.86,370.0,625.0,183.8,3,47.01,2,1494.5,7,General Purpose
BS 080A35,Carbon Steel,7.86,370.0,625.0,183.8,4,48.5,2,1531.9,7,General Purpose
BS 080M40,Carbon Steel,7.86,355.0,625.0,183.8,3,51.13,2,1523.9,7,General Purpose
BS 080M46,Carbon Steel,7.86,340.0,625.0,183.8,3,51.59,2,1524.5,7,General Purpose
BS 060A47,Carbon Steel,7.86,400.0,700.0,205.9,3,46.02,2,1524.5,6,General Purpose
BS 080M50,Carbon Steel,7.86,360.0,625.0,183.8,2,50.24,2,1509.8,7,General Purpose
BS 060A57,Carbon Steel,7.86,450.0,775.0,227.9,3,51.22,2,1523.6,7,General Purpose
BS 070M55,Carbon Steel,7.86,450.0,775.0,227.9,3,51.4,2,1542.4,7,General Purpose
BS 150M19,Carbon Steel,7.86,325.0,550.0,161.8,4,52.91,3,1528.1,7,General Purpose
BS 251A58 (heat treated),Carbon Steel,7.86,1100.0,1300.0,382.4,4,42.8,4,1532.8,6,Structural
BS 530A36,Carbon Steel,7.86,510.0,700.0,205.9,4,51.05,2,1491.5,8,General Purpose
BS 530M40 (heat treated),Carbon Steel,7.86,570.0,775.0,227.9,4,47.04,2,1506.3,7,General Purpose
BS 530M40 (face hardened),Carbon Steel,7.86,665.0,850.0,250.0,3,45.02,3,1555.5,6,Structural
BS 525A60 (heat treated),Carbon Steel,7.86,1180.0,1380.0,405.9,3,40.77,4,1523.8,6,Structural
BS 708A25,Carbon Steel,7.86,665.0,850.0,250.0,3,41.74,3,1543.9,5,Structural
BS 708A37,Carbon Steel,7.86,665.0,850.0,250.0,3,42.72,3,1536.0,6,Structural
BS 708M40 (heat treated),Carbon Steel,7.86,665.0,850.0,250.0,2,41.42,3,1542.4,5,Structural
BS 708M40 (face hardened),Carbon Steel,7.86,740.0,925.0,272.1,3,41.4,3,1525.3,6,Structural
BS 735A51 (heat treated),Carbon Steel,7.86,1180.0,1370.0,402.9,3,44.17,3,1550.7,5,Structural
BS 905M39 (nitrided),Carbon Steel,7.86,570.0,775.0,227.9,3,51.7,2,1481.2,7,General Purpose
BS 722M22,Tool Steel,7.86,665.0,850.0,250.0,3,16.33,5,1321.3,5,Die Casting
BS 722M24 (nitrided),Tool Steel,7.86,685.0,850.0,250.0,4,17.34,5,1341.0,5,Die Casting
BS 817M40 (heat treated),Carbon Steel,7.86,925.0,1075.0,316.2,3,47.03,3,1560.8,5,Structural
BS 403S17,Carbon Steel,7.86,245.0,420.0,123.5,4,54.57,2,1520.1,6,General Purpose
BS 410S21,Stainless Steel,7.86,340.0,550.0,161.8,8,16.8,4,1445.7,6,General Purpose
BS 420S37,Stainless Steel,7.86,490.0,700.0,205.9,8,24.91,3,1512.3,6,Cutting Tools
BS 430S17,Stainless Steel,7.86,245.0,430.0,126.5,6,26.16,2,1485.7,7,Valve Parts
BS 401S45,Carbon Steel,7.86,685.0,900.0,264.7,3,46.35,3,1531.8,6,Structural
BS 431S29,Carbon Steel,7.86,635.0,850.0,250.0,3,40.92,3,1535.4,6,Structural
BS 304S15,Stainless Steel,7.86,195.0,480.0,141.2,9,16.07,5,1434.9,5,Marine
BS 303S31,Carbon Steel,7.86,190.0,510.0,150.0,3,45.63,2,1509.3,7,General Purpose
BS 321S31,Carbon Steel,7.86,195.0,490.0,144.1,4,49.79,3,1518.2,7,General Purpose
BS 304S11,Stainless Steel,7.86,180.0,480.0,141.2,9,15.54,5,1432.7,5,Marine
BS 310S31,Carbon Steel,7.86,205.0,510.0,150.0,3,50.5,2,1509.9,7,General Purpose
BS 316S11,Stainless Steel,7.86,190.0,490.0,144.1,9,16.33,5,1439.2,5,Marine
BS 316S31,Stainless Steel,7.86,205.0,510.0,150.0,8,16.18,4,1414.9,6,General Purpose
BS 349S54,Carbon Steel,7.86,580.0,950.0,279.4,2,40.08,3,1560.3,5,Structural
CSN 10370,Carbon Steel,7.86,200.0,350.0,102.9,3,49.87,3,1501.5,7,General Purpose
CSN 11110,Carbon Steel,7.86,226.0,400.0,117.6,3,50.86,2,1509.6,6,General Purpose
CSN 11110 (normalized),Carbon Steel,7.86,373.0,471.0,138.5,3,51.28,3,1530.3,6,General Purpose
CSN 11120,Carbon Steel,7.86,255.0,400.0,117.6,3,46.02,2,1510.0,7,General Purpose
CSN 11140 (normalized),Carbon Steel,7.86,520.0,660.0,194.1,3,46.62,3,1488.8,7,General Purpose
CSN 11301,Carbon Steel,7.86,200.0,280.0,82.4,2,49.62,2,1513.4,7,General Purpose
CSN 11305,Carbon Steel,7.86,215.0,290.0,85.3,3,50.11,2,1499.7,7,General Purpose
CSN 11321,Carbon Steel,7.86,200.0,280.0,82.4,3,49.01,2,1512.9,7,General Purpose
CSN 11343,Carbon Steel,7.86,195.0,330.0,97.1,3,48.74,2,1505.6,7,General Purpose
CSN 11353,Carbon Steel,7.86,225.0,340.0,100.0,3,51.43,1,1512.3,7,General Purpose
CSN 11368,Carbon Steel,7.86,225.0,350.0,102.9,3,50.82,2,1519.7,7,General Purpose
CSN 11373,Carbon Steel,7.86,225.0,340.0,100.0,3,49.89,2,1531.4,6,General Purpose
CSN 11378,Carbon Steel,7.86,235.0,360.0,105.9,3,51.8,2,1496.2,7,General Purpose
CSN 11418,Carbon Steel,7.86,255.0,410.0,120.6,3,48.22,3,1520.1,6,General Purpose
CSN 11423,Carbon Steel,7.86,240.0,420.0,123.5,4,48.95,2,1518.5,7,General Purpose
CSN 11448,Carbon Steel,7.86,285.0,430.0,126.5,3,48.95,2,1528.0,7,General Purpose
CSN 11453,Carbon Steel,7.86,265.0,440.0,129.4,3,53.37,3,1523.5,7,General Purpose
CSN 11500,Carbon Steel,7.86,265.0,490.0,144.1,3,52.76,3,1502.1,7,General Purpose
CSN 11503,Carbon Steel,7.86,340.0,490.0,144.1,3,51.26,3,1540.8,7,General Purpose
CSN 11523 (normalized),Carbon Steel,7.86,345.0,510.0,150.0,3,51.27,1,1511.8,7,General Purpose
CSN 11600,Carbon Steel,7.86,315.0,590.0,173.5,3,50.75,2,1526.2,7,General Purpose
CSN 11600 (face hardened),Carbon Steel,7.86,315.0,590.0,173.5,3,46.9,1,1502.6,7,General Purpose
CSN 11700,Carbon Steel,7.86,355.0,686.0,201.8,3,52.07,2,1549.0,7,General Purpose
CSN 11700 (face hardened),Carbon Steel,7.86,355.0,686.0,201.8,3,50.03,2,1524.2,7,General Purpose
CSN 12010 (case-hardened),Carbon Steel,7.86,325.0,490.0,144.1,3,49.49,2,1507.4,7,General Purpose
